OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price,Revenue,Total Sales,Total Revenue,Total Cost,Total Profit,Profit Margin,Discount Amount,Order Year,Order Month,Order Day,Order Quarter,Order DayOfWeek,Order WeekOfYear,Ship Year,Ship Month,Ship Day,Ship Quarter,Ship DayOfWeek,Ship WeekOfYear,Delivery Year,Delivery Month,Delivery Day,Delivery Quarter,Delivery DayOfWeek,Delivery WeekOfYear,Processing_Days,Shipping_Days,Total_Lead_Time,Delivery_Category,Order_Value_Category,High_Margin_Product,Discounted_Order,Large_Order,Is_Holiday_Season,Is_Summer
SO - 000112,In-Store,WARE-NMK1003,10/4/2018,2018-06-01,2018-06-07,2018-06-17,USD,10,21,152,40,5,0.15,2762.28,6277.9,26681.075,31389.5,26681.075,13811.400000000001,12869.675,48.23521915814861,4708.424999999999,2018,6,1,2,4,22,2018,6,7,2,3,23,2018,6,17,2,6,24,6,10,16,Very Slow,Average,True,True,False,False,True
SO - 000113,In-Store,WARE-PUJ1005,10/4/2018,2018-06-01,2018-06-22,2018-07-02,USD,4,36,317,39,5,0.05,641.66,1051.9,4996.525,5259.5,4996.525,3208.2999999999997,1788.225,35.78937361466219,262.975,2018,6,1,2,4,22,2018,6,22,2,4,25,2018,7,2,3,0,27,21,10,31,Very Slow,Low,True,True,False,False,True
SO - 000114,In-Store,WARE-PUJ1005,10/4/2018,2018-06-01,2018-06-07,2018-06-15,USD,8,17,291,32,6,0.15,216.41,254.6,1298.4599999999998,1527.6,1298.4599999999998,1298.46,-2.2737367544323206e-13,-1.7511026557863324e-14,229.14,2018,6,1,2,4,22,2018,6,7,2,3,23,2018,6,15,2,4,24,6,8,14,Slow,Low,False,True,False,False,True
SO - 000115,In-Store,WARE-NMK1003,31/12/17,2018-06-01,2018-06-15,2018-06-20,USD,9,32,138,6,6,0.15,3146.32,3932.9,20057.79,23597.4,20057.79,18877.920000000002,1179.869999999999,5.882352941176465,3539.6099999999997,2018,6,1,2,4,22,2018,6,15,2,4,24,2018,6,20,2,2,25,14,5,19,Very Slow,Average,False,True,False,False,True
SO - 000116,In-Store,WARE-MKL1006,31/12/17,2018-06-01,2018-06-24,2018-07-02,USD,5,11,354,25,3,0.05,700.69,1112.2,3169.77,3336.6000000000004,3169.77,2102.07,1067.6999999999998,33.6838319499522,166.83,2018,6,1,2,4,22,2018,6,24,2,6,25,2018,7,2,3,0,27,23,8,31,Very Slow,Low,True,True,False,False,True
SO - 000117,In-Store,WARE-PUJ1005,10/4/2018,2018-06-01,2018-06-19,2018-06-27,USD,9,10,320,6,3,0.08,904.84,1239.5,3421.02,3718.5,3421.02,2714.52,706.5,20.65173544732273,297.48,2018,6,1,2,4,22,2018,6,19,2,1,25,2018,6,27,2,2,26,18,8,26,Very Slow,Low,False,True,False,False,True
SO - 000118,In-Store,WARE-XYS1001,10/4/2018,2018-06-01,2018-06-06,2018-06-14,USD,8,30,21,3,4,0.1,393.96,984.9,3545.64,3939.6,3545.64,1575.84,1969.8,55.55555555555556,393.96000000000004,2018,6,1,2,4,22,2018,6,6,2,2,23,2018,6,14,2,3,24,5,8,13,Slow,Low,True,True,False,False,True
SO - 000119,In-Store,WARE-MKL1006,10/4/2018,2018-06-01,2018-06-07,2018-06-15,USD,5,5,349,20,4,0.1,4130.01,5581.1,20091.960000000003,22324.4,20091.960000000003,16520.04,3571.920000000002,17.777857411621373,2232.44,2018,6,1,2,4,22,2018,6,7,2,3,23,2018,6,15,2,4,24,6,8,14,Slow,Average,False,True,False,False,True
SO - 000120,Online,WARE-NMK1003,31/12/17,2018-06-01,2018-06-11,2018-06-17,USD,14,23,134,24,4,0.05,1795.33,3095.4,11762.52,12381.6,11762.52,7181.32,4581.200000000001,38.94743643368939,619.08,2018,6,1,2,4,22,2018,6,11,2,0,24,2018,6,17,2,6,24,10,6,16,Very Slow,Below Avg,True,True,False,False,True
SO - 000121,Wholesale,WARE-NMK1003,10/4/2018,2018-06-01,2018-06-18,2018-06-20,USD,25,46,193,33,4,0.4,1754.06,2278.0,5467.2,9112.0,5467.2,7016.24,-1549.04,-28.333333333333332,3644.8,2018,6,1,2,4,22,2018,6,18,2,0,25,2018,6,20,2,2,25,17,2,19,Very Slow,Low,False,True,False,False,True
SO - 000122,In-Store,WARE-PUJ1005,10/4/2018,2018-06-02,2018-06-10,2018-06-16,USD,2,14,282,1,7,0.08,654.46,991.6,6385.904,6941.2,6385.904,4581.22,1804.6840000000002,28.260431099496643,555.296,2018,6,2,2,5,22,2018,6,10,2,6,23,2018,6,16,2,5,24,8,6,14,Slow,Low,False,True,False,False,True
SO - 000123,In-Store,WARE-XYS1001,10/4/2018,2018-06-02,2018-06-26,2018-06-28,USD,7,40,20,35,2,0.2,3064.45,3979.8,6367.68,7959.6,6367.68,6128.9,238.78000000000065,3.749874365546017,1591.92,2018,6,2,2,5,22,2018,6,26,2,1,26,2018,6,28,2,3,26,24,2,26,Very Slow,Low,False,True,False,False,True
SO - 000124,Distributor,WARE-UHY1004,31/12/17,2018-06-02,2018-06-22,2018-07-02,USD,24,19,218,15,3,0.4,866.71,1969.8,3545.64,5909.4,3545.64,2600.13,945.5099999999998,26.666835888584284,2363.76,2018,6,2,2,5,22,2018,6,22,2,4,25,2018,7,2,3,0,27,20,10,30,Very Slow,Low,False,True,False,False,True
SO - 000125,In-Store,WARE-NMK1003,10/4/2018,2018-06-02,2018-06-16,2018-06-24,USD,4,15,173,13,1,0.15,131.32,268.0,227.79999999999998,268.0,227.79999999999998,131.32,96.47999999999999,42.35294117647059,40.199999999999996,2018,6,2,2,5,22,2018,6,16,2,5,24,2018,6,24,2,6,25,14,8,22,Very Slow,Low,True,True,False,False,True
SO - 000126,Online,WARE-NMK1003,31/12/17,2018-06-02,2018-06-21,2018-07-01,USD,18,46,110,24,7,0.1,95.81,174.2,1097.4599999999998,1219.3999999999999,1097.4599999999998,670.6700000000001,426.78999999999974,38.88888888888887,121.93999999999998,2018,6,2,2,5,22,2018,6,21,2,3,25,2018,7,1,3,6,26,19,10,29,Very Slow,Low,True,True,False,False,True
SO - 000127,In-Store,WARE-UHY1004,31/12/17,2018-06-02,2018-06-26,2018-07-06,USD,7,32,229,46,3,0.08,2510.09,2988.2,8247.431999999999,8964.599999999999,8247.431999999999,7530.27,717.1619999999984,8.695579423995234,717.1679999999999,2018,6,2,2,5,22,2018,6,26,2,1,26,2018,7,6,3,4,27,24,10,34,Very Slow,Low,False,True,False,False,True
SO - 000128,In-Store,WARE-UHY1004,31/12/17,2018-06-02,2018-06-20,2018-06-29,USD,9,32,238,36,4,0.05,2679.93,3999.9,15199.619999999999,15999.6,15199.619999999999,10719.72,4479.9,29.473763159868472,799.98,2018,6,2,2,5,22,2018,6,20,2,2,25,2018,6,29,2,4,26,18,9,27,Very Slow,Below Avg,True,True,False,False,True
SO - 000129,Distributor,WARE-NMK1003,10/4/2018,2018-06-02,2018-06-21,2018-06-22,USD,20,22,97,37,3,0.05,2450.32,5976.4,17032.739999999998,17929.199999999997,17032.739999999998,7350.960000000001,9681.779999999997,56.84217571570985,896.46,2018,6,2,2,5,22,2018,6,21,2,3,25,2018,6,22,2,4,25,19,1,20,Very Slow,Below Avg,True,True,False,False,True
SO - 000130,In-Store,WARE-NMK1003,10/4/2018,2018-06-02,2018-06-27,2018-06-29,USD,8,5,103,32,5,0.1,2378.9,2901.1,13054.95,14505.5,13054.95,11894.5,1160.4500000000007,8.888965488186479,1450.5500000000002,2018,6,2,2,5,22,2018,6,27,2,2,26,2018,6,29,2,4,26,25,2,27,Very Slow,Below Avg,False,True,False,False,True
SO - 000131,In-Store,WARE-PUJ1005,10/4/2018,2018-06-03,2018-06-26,2018-07-05,USD,8,29,305,23,7,0.08,2734.61,6076.9,39135.236,42538.299999999996,39135.236,19142.27,19992.965999999997,51.08686708826797,3403.064,2018,6,3,2,6,22,2018,6,26,2,1,26,2018,7,5,3,3,27,23,9,32,Very Slow,Above Avg,True,True,False,False,True
SO - 000132,Online,WARE-PUJ1005,31/12/17,2018-06-03,2018-06-05,2018-06-10,USD,13,35,303,14,7,0.2,4186.7,5735.2,32117.120000000003,40146.4,32117.120000000003,29306.899999999998,2810.220000000005,8.749912819082173,8029.28,2018,6,3,2,6,22,2018,6,5,2,1,23,2018,6,10,2,6,23,2,5,7,Standard,Above Avg,False,True,False,False,True
SO - 000133,Online,WARE-UHY1004,31/12/17,2018-06-03,2018-06-30,2018-07-10,USD,19,46,217,7,3,0.1,2077.34,3919.5,10582.65,11758.5,10582.65,6232.02,4350.629999999999,41.11096936967583,1175.8500000000001,2018,6,3,2,6,22,2018,6,30,2,5,26,2018,7,10,3,1,28,27,10,37,Very Slow,Below Avg,True,True,False,False,True
SO - 000134,Online,WARE-MKL1006,31/12/17,2018-06-03,2018-06-30,2018-07-05,USD,17,42,362,46,1,0.05,3832.67,6083.6,5779.42,6083.6,5779.42,3832.67,1946.75,33.68417592076713,304.18,2018,6,3,2,6,22,2018,6,30,2,5,26,2018,7,5,3,3,27,27,5,32,Very Slow,Low,True,True,False,False,True
SO - 000135,Wholesale,WARE-MKL1006,10/4/2018,2018-06-03,2018-06-14,2018-06-15,USD,26,2,335,40,5,0.08,1642.3,2566.1,11804.060000000001,12830.5,11804.060000000001,8211.5,3592.5600000000013,30.434952041924568,1026.44,2018,6,3,2,6,22,2018,6,14,2,3,24,2018,6,15,2,4,24,11,1,12,Slow,Below Avg,True,True,False,False,True
SO - 000136,Distributor,WARE-NBV1002,31/12/17,2018-06-03,2018-06-07,2018-06-13,USD,22,28,84,38,2,0.08,1093.44,2278.0,4191.52,4556.0,4191.52,2186.88,2004.6400000000003,47.82608695652174,364.48,2018,6,3,2,6,22,2018,6,7,2,3,23,2018,6,13,2,2,24,4,6,10,Slow,Low,True,True,False,False,True
SO - 000137,In-Store,WARE-UHY1004,31/12/17,2018-06-03,2018-06-14,2018-06-21,USD,7,46,256,1,1,0.08,120.2,261.3,240.39600000000002,261.3,240.39600000000002,120.2,120.19600000000001,49.99916803940165,20.904,2018,6,3,2,6,22,2018,6,14,2,3,24,2018,6,21,2,3,25,11,7,18,Very Slow,Low,True,True,False,False,True
SO - 000138,Online,WARE-MKL1006,31/12/17,2018-06-03,2018-06-28,2018-07-08,USD,12,22,360,17,8,0.05,698.81,998.3,7587.079999999999,7986.4,7587.079999999999,5590.48,1996.5999999999995,26.31578947368421,399.32,2018,6,3,2,6,22,2018,6,28,2,3,26,2018,7,8,3,6,27,25,10,35,Very Slow,Low,False,True,True,False,True
SO - 000139,In-Store,WARE-NMK1003,31/12/17,2018-06-03,2018-06-13,2018-06-21,USD,4,34,90,40,6,0.2,1958.54,3497.4,16787.52,20984.4,16787.52,11751.24,5036.280000000001,30.0001429633442,4196.88,2018,6,3,2,6,22,2018,6,13,2,2,24,2018,6,21,2,3,25,10,8,18,Very Slow,Below Avg,True,True,False,False,True
SO - 000140,In-Store,WARE-NMK1003,31/12/17,2018-06-03,2018-06-18,2018-06-28,USD,9,26,196,25,4,0.05,486.89,1132.3,4302.74,4529.2,4302.74,1947.56,2355.18,54.73674914124488,226.46,2018,6,3,2,6,22,2018,6,18,2,0,25,2018,6,28,2,3,26,15,10,25,Very Slow,Low,True,True,False,False,True
SO - 000141,In-Store,WARE-XYS1001,31/12/17,2018-06-03,2018-06-15,2018-06-17,USD,7,26,40,2,7,0.05,1587.5,2405.3,15995.245,16837.100000000002,15995.245,11112.5,4882.745000000001,30.526228263462052,841.8550000000001,2018,6,3,2,6,22,2018,6,15,2,4,24,2018,6,17,2,6,24,12,2,14,Slow,Below Avg,True,True,False,False,True
SO - 000142,Distributor,WARE-MKL1006,31/12/17,2018-06-03,2018-06-24,2018-07-03,USD,24,24,367,3,8,0.05,3249.97,5701.7,43332.92,45613.6,43332.92,25999.76,17333.16,39.99998153828545,2280.68,2018,6,3,2,6,22,2018,6,24,2,6,25,2018,7,3,3,1,27,21,9,30,Very Slow,High,True,True,True,False,True
SO - 000143,Distributor,WARE-UHY1004,31/12/17,2018-06-04,2018-06-09,2018-06-16,USD,25,18,249,34,1,0.2,1446.8,2452.2,1961.76,2452.2,1961.76,1446.8,514.96,26.249898050729957,490.44,2018,6,4,2,0,23,2018,6,9,2,5,23,2018,6,16,2,5,24,5,7,12,Slow,Low,False,True,False,False,True
SO - 000144,In-Store,WARE-XYS1001,31/12/17,2018-06-04,2018-06-30,2018-07-04,USD,11,21,6,11,3,0.05,2012.01,3095.4,8821.89,9286.2,8821.89,6036.03,2785.8599999999997,31.57894736842105,464.31000000000006,2018,6,4,2,0,23,2018,6,30,2,5,26,2018,7,4,3,2,27,26,4,30,Very Slow,Low,True,True,False,False,True
SO - 000145,Online,WARE-UHY1004,31/12/17,2018-06-04,2018-06-12,2018-06-14,USD,15,14,212,8,4,0.4,2164.9,3865.9,9278.16,15463.6,9278.16,8659.6,618.5599999999995,6.666839114652038,6185.4400000000005,2018,6,4,2,0,23,2018,6,12,2,1,24,2018,6,14,2,3,24,8,2,10,Slow,Low,False,True,False,False,True
SO - 000146,Distributor,WARE-XYS1001,31/12/17,2018-06-04,2018-06-10,2018-06-15,USD,23,3,37,11,8,0.1,1382.88,2304.8,16594.56,18438.4,16594.56,11063.04,5531.52,33.33333333333333,1843.8400000000001,2018,6,4,2,0,23,2018,6,10,2,6,23,2018,6,15,2,4,24,6,5,11,Slow,Below Avg,True,True,True,False,True
SO - 000147,Online,WARE-XYS1001,31/12/17,2018-06-04,2018-06-21,2018-06-24,USD,17,13,38,35,3,0.05,1470.11,3195.9,9108.315,9587.7,9108.315,4410.33,4697.985000000001,51.57907911617022,479.38500000000005,2018,6,4,2,0,23,2018,6,21,2,3,25,2018,6,24,2,6,25,17,3,20,Very Slow,Low,True,True,False,False,True
SO - 000148,Online,WARE-PUJ1005,31/12/17,2018-06-04,2018-06-19,2018-06-26,USD,18,49,294,33,7,0.05,5161.68,6452.1,42906.465000000004,45164.700000000004,42906.465000000004,36131.76,6774.705000000002,15.789473684210527,2258.235,2018,6,4,2,0,23,2018,6,19,2,1,25,2018,6,26,2,1,26,15,7,22,Very Slow,High,False,True,False,False,True
SO - 000149,Distributor,WARE-NMK1003,31/12/17,2018-06-05,2018-06-14,2018-06-17,USD,24,4,105,16,3,0.3,921.52,2003.3,4206.929999999999,6009.9,4206.929999999999,2764.56,1442.3699999999994,34.28557166389742,1802.97,2018,6,5,2,1,23,2018,6,14,2,3,24,2018,6,17,2,6,24,9,3,12,Slow,Low,True,True,False,False,True
SO - 000150,Distributor,WARE-XYS1001,10/4/2018,2018-06-05,2018-06-28,2018-07-07,USD,23,20,17,8,8,0.05,1455.24,3638.1,27649.559999999998,29104.8,27649.559999999998,11641.92,16007.639999999998,57.89473684210525,1455.24,2018,6,5,2,1,23,2018,6,28,2,3,26,2018,7,7,3,5,27,23,9,32,Very Slow,Average,True,True,True,False,True
SO - 000151,In-Store,WARE-NMK1003,10/4/2018,2018-06-05,2018-06-14,2018-06-17,USD,4,19,109,44,3,0.08,1822.4,2278.0,6287.280000000001,6834.0,6287.280000000001,5467.200000000001,820.0799999999999,13.043478260869563,546.72,2018,6,5,2,1,23,2018,6,14,2,3,24,2018,6,17,2,6,24,9,3,12,Slow,Low,False,True,False,False,True
SO - 000152,Online,WARE-NMK1003,10/4/2018,2018-06-05,2018-06-25,2018-06-29,USD,16,25,141,22,6,0.3,582.5,924.6,3883.32,5547.6,3883.32,3495.0,388.32000000000016,9.999690986063476,1664.28,2018,6,5,2,1,23,2018,6,25,2,0,26,2018,6,29,2,4,26,20,4,24,Very Slow,Low,False,True,False,False,True
SO - 000153,Online,WARE-NMK1003,10/4/2018,2018-06-05,2018-06-21,2018-07-01,USD,19,8,111,16,5,0.05,3062.44,3926.2,18649.45,19631.0,18649.45,15312.2,3337.25,17.89462960033674,981.55,2018,6,5,2,1,23,2018,6,21,2,3,25,2018,7,1,3,6,26,16,10,26,Very Slow,Below Avg,False,True,False,False,True
SO - 000154,Distributor,WARE-MKL1006,31/12/17,2018-06-05,2018-06-12,2018-06-18,USD,23,24,349,25,4,0.08,2257.16,3825.7,14078.576,15302.8,14078.576,9028.64,5049.936,35.86965045328448,1224.224,2018,6,5,2,1,23,2018,6,12,2,1,24,2018,6,18,2,0,25,7,6,13,Slow,Below Avg,True,True,False,False,True
SO - 000155,Wholesale,WARE-MKL1006,31/12/17,2018-06-05,2018-07-03,2018-07-08,USD,27,13,360,4,3,0.05,1377.32,2257.9,6435.015,6773.700000000001,6435.015,4131.96,2303.0550000000003,35.78942706427258,338.68500000000006,2018,6,5,2,1,23,2018,7,3,3,1,27,2018,7,8,3,6,27,28,5,33,Very Slow,Low,True,True,False,False,True
SO - 000156,Distributor,WARE-NMK1003,31/12/17,2018-06-06,2018-07-02,2018-07-08,USD,24,32,148,33,8,0.08,756.3,1112.2,8185.792,8897.6,8185.792,6050.4,2135.3920000000007,26.086565600494133,711.808,2018,6,6,2,2,23,2018,7,2,3,0,27,2018,7,8,3,6,27,26,6,32,Very Slow,Low,False,True,True,False,True
SO - 000157,Online,WARE-NMK1003,31/12/17,2018-06-06,2018-06-22,2018-06-23,USD,19,28,103,45,8,0.05,1814.43,3557.7,27038.519999999997,28461.6,27038.519999999997,14515.44,12523.079999999996,46.315700711429464,1423.08,2018,6,6,2,2,23,2018,6,22,2,4,25,2018,6,23,2,5,25,16,1,17,Very Slow,Average,True,True,True,False,True
SO - 000158,Online,WARE-NBV1002,31/12/17,2018-06-06,2018-06-09,2018-06-12,USD,13,8,59,45,3,0.4,1233.34,2371.8,4269.24,7115.400000000001,4269.24,3700.0199999999995,569.2200000000003,13.33305225286,2846.1600000000003,2018,6,6,2,2,23,2018,6,9,2,5,23,2018,6,12,2,1,24,3,3,6,Standard,Low,False,True,False,False,True
SO - 000159,Online,WARE-NBV1002,31/12/17,2018-06-06,2018-07-01,2018-07-04,USD,14,47,60,1,1,0.4,686.08,857.6,514.56,857.6,514.56,686.08,-171.5200000000001,-33.33333333333336,343.04,2018,6,6,2,2,23,2018,7,1,3,6,26,2018,7,4,3,2,27,25,3,28,Very Slow,Low,False,True,False,False,True
SO - 000160,In-Store,WARE-UHY1004,31/12/17,2018-06-07,2018-06-14,2018-06-16,USD,11,33,238,20,5,0.3,2880.6,3892.7,13624.449999999999,19463.5,13624.449999999999,14403.0,-778.5500000000011,-5.714359111743969,5839.049999999999,2018,6,7,2,3,23,2018,6,14,2,3,24,2018,6,16,2,5,24,7,2,9,Slow,Below Avg,False,True,False,False,True
SO - 000161,In-Store,WARE-NMK1003,31/12/17,2018-06-07,2018-06-13,2018-06-15,USD,3,26,151,21,6,0.08,1390.92,3477.3,19194.696000000004,20863.800000000003,19194.696000000004,8345.52,10849.176000000003,56.52173913043479,1669.1040000000003,2018,6,7,2,3,23,2018,6,13,2,2,24,2018,6,15,2,4,24,6,2,8,Slow,Below Avg,True,True,False,False,True
SO - 000162,Online,WARE-NMK1003,31/12/17,2018-06-07,2018-06-11,2018-06-21,USD,13,20,152,44,5,0.1,2803.95,3738.6,16823.7,18693.0,16823.7,14019.75,2803.9500000000007,16.66666666666667,1869.3000000000002,2018,6,7,2,3,23,2018,6,11,2,0,24,2018,6,21,2,3,25,4,10,14,Slow,Below Avg,False,True,False,False,True
SO - 000163,Online,WARE-PUJ1005,10/4/2018,2018-06-07,2018-06-10,2018-06-13,USD,20,6,262,8,5,0.3,589.6,1072.0,3751.9999999999995,5360.0,3751.9999999999995,2948.0,803.9999999999995,21.42857142857142,1607.9999999999998,2018,6,7,2,3,23,2018,6,10,2,6,23,2018,6,13,2,2,24,3,3,6,Standard,Low,False,True,False,False,True
SO - 000164,In-Store,WARE-NMK1003,10/4/2018,2018-06-07,2018-07-01,2018-07-02,USD,5,40,120,46,7,0.05,1761.16,2257.9,15015.035,15805.300000000001,15015.035,12328.12,2686.914999999999,17.894830081981155,790.2650000000001,2018,6,7,2,3,23,2018,7,1,3,6,26,2018,7,2,3,0,27,24,1,25,Very Slow,Below Avg,False,True,False,False,True
SO - 000165,Online,WARE-UHY1004,10/4/2018,2018-06-07,2018-06-11,2018-06-13,USD,18,23,233,46,3,0.1,751.61,1058.6,2858.22,3175.7999999999997,2858.22,2254.83,603.3899999999999,21.110691269391438,317.58,2018,6,7,2,3,23,2018,6,11,2,0,24,2018,6,13,2,2,24,4,2,6,Standard,Low,False,True,False,False,True
SO - 000166,Online,WARE-NBV1002,10/4/2018,2018-06-07,2018-06-15,2018-06-25,USD,13,38,77,39,4,0.1,1296.05,2492.4,8972.640000000001,9969.6,8972.640000000001,5184.2,3788.4400000000014,42.22213306228714,996.96,2018,6,7,2,3,23,2018,6,15,2,4,24,2018,6,25,2,0,26,8,10,18,Very Slow,Low,True,True,False,False,True
SO - 000167,In-Store,WARE-NBV1002,10/4/2018,2018-06-07,2018-06-13,2018-06-21,USD,4,30,69,11,5,0.05,2465.6,3852.5,18299.375,19262.5,18299.375,12328.0,5971.375,32.631578947368425,963.125,2018,6,7,2,3,23,2018,6,13,2,2,24,2018,6,21,2,3,25,6,8,14,Slow,Below Avg,True,True,False,False,True
SO - 000168,Distributor,WARE-UHY1004,31/12/17,2018-06-08,2018-06-19,2018-06-25,USD,23,42,215,37,8,0.05,132.66,241.2,1833.12,1929.6,1833.12,1061.28,771.8399999999999,42.10526315789473,96.48,2018,6,8,2,4,23,2018,6,19,2,1,25,2018,6,25,2,0,26,11,6,17,Very Slow,Low,True,True,True,False,True
SO - 000169,In-Store,WARE-XYS1001,31/12/17,2018-06-08,2018-06-11,2018-06-17,USD,9,1,30,35,2,0.15,494.39,1051.9,1788.23,2103.8,1788.23,988.78,799.45,44.70621788025031,315.57,2018,6,8,2,4,23,2018,6,11,2,0,24,2018,6,17,2,6,24,3,6,9,Slow,Low,True,True,False,False,True
SO - 000170,Distributor,WARE-NMK1003,31/12/17,2018-06-08,2018-06-14,2018-06-19,USD,25,11,169,10,5,0.3,107.07,227.8,797.3,1139.0,797.3,535.3499999999999,261.95000000000005,32.85463439106987,341.70000000000005,2018,6,8,2,4,23,2018,6,14,2,3,24,2018,6,19,2,1,25,6,5,11,Slow,Low,True,True,False,False,True
SO - 000171,Distributor,WARE-MKL1006,10/4/2018,2018-06-08,2018-06-14,2018-06-15,USD,24,4,333,14,5,0.05,506.99,1078.7,5123.825,5393.5,5123.825,2534.95,2588.875,50.52621820612531,269.675,2018,6,8,2,4,23,2018,6,14,2,3,24,2018,6,15,2,4,24,6,1,7,Standard,Low,True,True,False,False,True
